Date,Server_ID,Data_Center_Location,CPU_Utilisation (%),Memory_Utilisation (%),Energy_Consumption_kWh,Temperature_Celsius,PUE,Carbon_Intensity_gCO2/kWh,Total_CO2_kg,Threshold_Breach
2025-06-26,S11,Norway,64.72,65.71,8.88,29.5,2.0,50,0.44,No
2025-06-27,S11,Norway,59.06,60.55,13.46,28.9,1.94,50,0.67,No
2025-06-28,S11,Norway,61.15,72.16,8.66,25.4,1.25,50,0.43,No
2025-06-29,S11,Norway,80.17,77.44,14.16,36.7,1.81,50,0.71,No
2025-06-30,S11,Norway,30.82,32.62,10.72,34.8,1.22,50,0.54,No
2025-06-01,S12,Norway,19.31,33.96,14.74,37.9,1.45,50,0.74,No
2025-06-02,S12,Norway,30.35,77.15,8.78,26.1,1.77,50,0.44,No
2025-06-03,S12,Norway,25.89,86.88,5.06,28.1,1.42,50,0.25,No
2025-06-04,S12,Norway,32.13,71.08,11.79,36.3,1.64,50,0.59,No
2025-06-05,S12,Norway,32.03,68.86,9.65,30.9,1.78,50,0.48,No
2025-06-06,S12,Norway,64.61,82.79,23.09,30.5,1.4,50,1.15,No
2025-06-07,S12,Norway,18.85,57.17,18.49,39.3,1.65,50,0.92,No
2025-06-08,S12,Norway,82.0,34.46,12.42,25.9,1.85,50,0.62,No
2025-06-09,S12,Norway,76.9,73.73,8.95,26.3,1.74,50,0.45,No
2025-06-10,S12,Norway,72.45,31.54,22.12,38.5,1.45,50,1.11,No
2025-06-11,S12,Norway,68.28,60.4,15.92,39.6,1.96,50,0.8,No
2025-06-12,S12,Norway,59.23,73.28,8.52,29.6,1.94,50,0.43,No
2025-06-13,S12,Norway,22.47,79.58,12.13,29.1,1.58,50,0.61,No
2025-06-14,S12,Norway,79.88,51.49,9.96,26.9,1.87,50,0.5,No
2025-06-15,S12,Norway,50.98,23.71,23.14,35.1,1.35,50,1.16,No
2025-06-16,S12,Norway,29.77,52.68,17.46,34.7,1.46,50,0.87,No
2025-06-17,S12,Norway,15.64,94.95,22.36,36.6,1.41,50,1.12,No
2025-06-18,S12,Norway,81.71,87.49,7.26,37.7,1.31,50,0.36,No
2025-06-19,S12,Norway,25.76,54.42,9.92,26.9,1.89,50,0.5,No
2025-06-20,S12,Norway,89.65,45.45,9.28,37.9,1.36,50,0.46,No
2025-06-21,S12,Norway,85.75,56.31,8.59,35.4,1.77,50,0.43,No
2025-06-22,S12,Norway,50.59,33.09,15.88,39.0,1.72,50,0.79,No
2025-06-23,S12,Norway,80.77,49.35,13.52,33.1,1.72,50,0.68,No
2025-06-24,S12,Norway,34.48,89.83,14.38,27.0,1.55,50,0.72,No
2025-06-25,S12,Norway,50.39,92.65,7.12,34.2,1.84,50,0.36,No
2025-06-26,S12,Norway,75.34,47.39,24.2,32.4,1.87,50,1.21,No
2025-06-27,S12,Norway,26.92,67.1,16.48,36.0,1.34,50,0.82,No
2025-06-28,S12,Norway,80.23,40.58,9.53,37.6,1.91,50,0.48,No
2025-06-29,S12,Norway,28.78,36.27,21.52,35.2,1.99,50,1.08,No
2025-06-30,S12,Norway,77.61,26.56,7.21,29.0,1.69,50,0.36,No
2025-06-01,S13,Norway,76.7,39.61,9.16,28.7,1.25,50,0.46,No
2025-06-02,S13,Norway,87.97,32.48,10.62,29.0,1.44,50,0.53,No
2025-06-03,S13,Norway,63.22,35.95,16.33,34.4,1.53,50,0.82,No
2025-06-04,S13,Norway,20.07,61.53,8.45,25.3,1.24,50,0.42,No
2025-06-05,S13,Norway,29.17,33.67,17.76,32.7,1.55,50,0.89,No
2025-06-06,S13,Norway,60.53,52.05,20.63,35.5,1.69,50,1.03,No
2025-06-07,S13,Norway,20.09,88.73,10.59,25.0,1.42,50,0.53,No
2025-06-08,S13,Norway,83.16,26.5,7.48,25.3,1.71,50,0.37,No
2025-06-09,S13,Norway,23.49,40.46,24.47,28.6,1.51,50,1.22,No
2025-06-10,S13,Norway,51.47,57.19,8.39,33.4,1.23,50,0.42,No
2025-06-11,S13,Norway,44.41,59.01,8.51,35.4,1.37,50,0.43,No
2025-06-12,S13,Norway,34.51,38.83,15.66,38.7,1.36,50,0.78,No
2025-06-13,S13,Norway,65.68,76.96,24.37,27.3,1.21,50,1.22,No
2025-06-14,S13,Norway,30.78,73.0,12.67,35.6,1.57,50,0.63,No
2025-06-15,S13,Norway,18.33,83.13,23.76,34.3,1.24,50,1.19,No
2025-06-16,S13,Norway,38.17,72.45,8.28,30.4,1.6,50,0.41,No
2025-06-17,S13,Norway,71.8,85.57,15.46,36.5,1.98,50,0.77,No
2025-06-18,S13,Norway,19.59,40.21,13.99,30.2,1.71,50,0.7,No
2025-06-19,S13,Norway,23.45,31.53,7.08,32.0,1.81,50,0.35,No
2025-06-20,S13,Norway,60.33,93.28,8.08,37.6,1.5,50,0.4,No
2025-06-21,S13,Norway,71.12,75.44,15.23,27.3,1.41,50,0.76,No
2025-06-22,S13,Norway,60.67,61.41,23.68,38.3,1.28,50,1.18,No
2025-06-23,S13,Norway,63.11,23.13,6.12,35.3,1.51,50,0.31,No
2025-06-24,S13,Norway,42.24,70.44,21.83,25.4,1.57,50,1.09,No
2025-06-25,S13,Norway,43.52,42.29,5.95,34.7,1.48,50,0.3,No
2025-06-26,S13,Norway,67.72,23.7,24.7,31.6,1.62,50,1.24,No
2025-06-27,S13,Norway,30.92,27.99,15.67,27.5,1.85,50,0.78,No
2025-06-28,S13,Norway,36.58,69.7,21.54,37.2,1.59,50,1.08,No
2025-06-29,S13,Norway,72.01,43.52,17.95,36.3,1.5,50,0.9,No
2025-06-30,S13,Norway,22.82,68.81,20.11,34.8,1.62,50,1.01,No
2025-06-01,S14,Ireland,39.55,56.27,18.35,35.3,1.98,250,4.59,No
2025-06-02,S14,Ireland,71.79,86.36,6.15,27.4,1.28,250,1.54,No
2025-06-03,S14,Ireland,41.2,93.4,20.12,25.8,1.28,250,5.03,No
2025-06-04,S14,Ireland,48.88,31.63,22.62,31.1,1.94,250,5.66,No
2025-06-05,S14,Ireland,52.79,45.64,19.48,27.0,1.27,250,4.87,No
2025-06-06,S14,Ireland,47.47,32.04,12.43,25.2,1.94,250,3.11,No
2025-06-07,S14,Ireland,86.63,66.08,15.01,36.0,1.31,250,3.75,No
2025-06-08,S14,Ireland,47.98,22.28,21.9,34.6,1.4,250,5.47,No
2025-06-09,S14,Ireland,35.29,32.73,13.6,36.1,1.35,250,3.4,No
2025-06-10,S14,Ireland,67.36,84.25,10.24,31.3,1.93,250,2.56,No
2025-06-11,S14,Ireland,16.63,76.92,7.42,29.5,1.73,250,1.85,No
2025-06-12,S14,Ireland,54.46,91.02,14.53,27.4,1.21,250,3.63,No
2025-06-13,S14,Ireland,32.38,78.0,21.49,39.4,1.43,250,5.37,No
2025-06-14,S14,Ireland,32.64,22.96,19.76,26.3,1.59,250,4.94,No
2025-06-15,S14,Ireland,75.44,27.61,6.82,25.9,1.83,250,1.71,No
2025-06-16,S14,Ireland,49.68,78.52,11.06,39.0,1.86,250,2.77,No
2025-06-17,S14,Ireland,88.58,48.88,16.76,25.6,1.68,250,4.19,No
2025-06-18,S14,Ireland,62.86,67.25,15.27,39.9,1.33,250,3.82,No
2025-06-19,S14,Ireland,49.72,88.53,19.19,34.0,1.8,250,4.8,No
2025-06-20,S14,Ireland,32.87,20.47,11.69,26.5,1.62,250,2.92,No
2025-06-21,S14,Ireland,21.04,58.62,12.39,26.5,1.97,250,3.1,No
2025-06-22,S14,Ireland,67.91,30.1,14.23,29.0,1.48,250,3.56,No
2025-06-23,S14,Ireland,35.84,33.88,5.98,26.9,1.9,250,1.5,No
2025-06-24,S14,Ireland,21.73,40.58,23.35,34.0,1.34,250,5.84,No
2025-06-25,S14,Ireland,24.23,23.07,18.87,28.0,1.76,250,4.72,No
2025-06-26,S14,Ireland,69.19,81.95,22.4,27.6,1.87,250,5.6,No
2025-06-27,S14,Ireland,33.25,64.89,15.46,34.7,1.44,250,3.87,No
2025-06-28,S14,Ireland,75.94,92.29,21.67,26.4,1.58,250,5.42,No
2025-06-29,S14,Ireland,36.12,59.37,9.27,27.4,1.92,250,2.32,No
2025-06-30,S14,Ireland,86.83,52.85,6.99,35.1,1.95,250,1.75,No
2025-06-01,S15,Germany,24.29,73.01,20.83,32.1,1.59,350,7.29,No
2025-06-02,S15,Germany,26.74,52.29,24.24,28.2,1.65,350,8.48,No
2025-06-03,S15,Germany,11.8,46.49,19.75,36.2,1.28,350,6.91,No
2025-06-04,S15,Germany,79.41,62.13,16.48,37.3,1.87,350,5.77,No
2025-06-05,S15,Germany,32.3,56.16,16.34,28.9,1.56,350,5.72,No
2025-06-06,S15,Germany,53.67,83.02,16.38,32.8,1.38,350,5.73,No
2025-06-07,S15,Germany,68.96,39.62,12.2,36.6,1.74,350,4.27,No
2025-06-08,S15,Germany,47.33,86.38,9.01,34.9,1.53,350,3.15,No
2025-06-09,S15,Germany,40.23,77.3,10.05,39.7,1.67,350,3.52,No
2025-06-10,S15,Germany,28.59,71.26,10.5,31.8,1.88,350,3.67,No
2025-06-11,S15,Germany,32.76,80.99,19.3,25.4,1.33,350,6.75,No
2025-06-12,S15,Germany,84.03,82.6,20.25,33.4,1.44,350,7.09,No
2025-06-13,S15,Germany,11.19,65.74,7.21,38.2,1.48,350,2.52,No
2025-06-14,S15,Germany,58.73,76.91,18.37,39.4,1.42,350,6.43,No
2025-06-15,S15,Germany,57.49,36.39,6.23,39.8,1.48,350,2.18,No
2025-06-16,S15,Germany,11.03,65.77,6.83,26.3,1.22,350,2.39,No
2025-06-17,S15,Germany,16.72,24.44,7.7,34.1,1.78,350,2.69,No
2025-06-18,S15,Germany,26.28,65.91,11.75,36.6,1.48,350,4.11,No
2025-06-19,S15,Germany,62.79,86.29,17.6,38.9,1.49,350,6.16,No
2025-06-20,S15,Germany,50.97,25.16,19.07,39.4,1.54,350,6.67,No
2025-06-21,S15,Germany,68.4,26.06,11.94,26.4,1.56,350,4.18,No
2025-06-22,S15,Germany,82.53,79.5,14.12,38.9,1.26,350,4.94,No
2025-06-23,S15,Germany,81.58,90.38,17.8,29.6,1.92,350,6.23,No
2025-06-24,S15,Germany,89.02,78.0,10.58,36.1,1.4,350,3.7,No
2025-06-25,S15,Germany,50.02,51.1,12.47,33.7,1.88,350,4.36,No
2025-06-26,S15,Germany,24.57,42.15,13.88,37.8,1.27,350,4.86,No
2025-06-27,S15,Germany,17.27,76.2,16.57,30.2,1.92,350,5.8,No
2025-06-28,S15,Germany,66.24,61.82,8.46,36.0,1.98,350,2.96,No
2025-06-29,S15,Germany,57.49,33.84,5.92,32.1,1.58,350,2.07,No
2025-06-30,S15,Germany,83.52,52.92,22.5,30.0,1.78,350,7.88,No
